Image,Level,Method,Optimization,Thresholds,Objective Value,SSIM,PSNR,Unique Values
T22,2,Otsu,Simulated Annealing,[60],32499566.319223642,0.6065682468036183,19.61970935519303,"[0, 127]"
T22,2,Kapur,Simulated Annealing,[77],-7.360085964202881,0.422428832040836,5.810659073078471,"[0, 255]"
T22,2,Otsu,Variable Neighborhood Search,[252],154894243.12982178,0.6065682468036183,19.61970935519303,"[0, 127]"
T22,2,Kapur,Variable Neighborhood Search,[235],-5.488922953605652,0.422428832040836,5.810659073078471,"[0, 255]"
T22,3,Otsu,Simulated Annealing,[33 94],14171215.68231995,0.6417188763030888,15.256309989342181,"[0, 85, 170]"
T22,3,Kapur,Simulated Annealing,[ 3 55],-9.006211578845978,0.5433825606459819,9.416721407463736,"[0, 128, 255]"
T22,3,Otsu,Variable Neighborhood Search,[199 205],152041587.20998025,0.6417188763030888,15.256309989342181,"[0, 85, 170]"
T22,3,Kapur,Variable Neighborhood Search,[207 212],-8.378769636154175,0.5433825606459819,9.416721407463736,"[0, 128, 255]"
T22,4,Otsu,Simulated Annealing,[ 22  65 115],7322200.294501291,0.5773858720713074,12.083677935468067,"[0, 63, 126, 189]"
T22,4,Kapur,Simulated Annealing,[71 17  5],-11.550433278083801,0.6634185470714293,12.90846851265908,"[0, 85, 170, 255]"
T22,4,Otsu,Variable Neighborhood Search,[14 47 94],9199816.015640087,0.5773858720713074,12.083677935468067,"[0, 63, 126, 189]"
T22,4,Kapur,Variable Neighborhood Search,[ 98 103 171],-12.658297300338745,0.6634185470714293,12.90846851265908,"[0, 85, 170, 255]"
T22,5,Otsu,Simulated Annealing,[ 18  87  51 126],4758254.207213032,0.5019070442708095,10.067847872523924,"[0, 51, 102, 153, 204]"
T22,5,Kapur,Simulated Annealing,[ 24 133  35 123],-14.377151250839233,0.7535030045444645,16.356128336519284,"[0, 64, 128, 191, 255]"
T22,5,Otsu,Variable Neighborhood Search,[13 14 47 94],9155355.112047482,0.5019070442708095,10.067847872523924,"[0, 51, 102, 153, 204]"
T22,5,Kapur,Variable Neighborhood Search,[189 214 248 251],-9.832613706588745,0.7535030045444645,16.356128336519284,"[0, 64, 128, 191, 255]"
T32,2,Otsu,Simulated Annealing,[60],33726753.38911648,0.6403085900792006,19.786610931588363,"[0, 127]"
T32,2,Kapur,Simulated Annealing,[57],-7.025829315185547,0.09293136747365292,4.342287296253036,"[0, 128, 255]"
T32,2,Otsu,Variable Neighborhood Search,[252],176225743.83630928,0.6403085900792006,19.786610931588363,"[0, 127]"
T32,2,Kapur,Variable Neighborhood Search,[189],-7.654165744781494,0.09293136747365292,4.342287296253036,"[0, 128, 255]"
T32,3,Otsu,Simulated Annealing,[ 43 110],15603533.359562919,0.6551309694819788,15.215117594577377,"[0, 85, 170]"
T32,3,Kapur,Simulated Annealing,[ 4 56],-9.165704429149628,0.2220796060749098,7.209123280144414,"[0, 85, 170, 255]"
T32,3,Otsu,Variable Neighborhood Search,[ 49 103],16587997.313610626,0.6551309694819788,15.215117594577377,"[0, 85, 170]"
T32,3,Kapur,Variable Neighborhood Search,[ 53 105],-10.46346116065979,0.2220796060749098,7.209123280144414,"[0, 85, 170, 255]"
T32,4,Otsu,Simulated Annealing,[ 23  68 120],7815028.771459142,0.5767829743862601,12.22953944947215,"[0, 63, 126, 189]"
T32,4,Kapur,Simulated Annealing,[25 42  5],-11.236176192760468,0.2974002824517877,9.94181288627537,"[0, 64, 127, 191, 255]"
T32,4,Otsu,Variable Neighborhood Search,[14 47 94],12016010.634687977,0.5767829743862601,12.22953944947215,"[0, 63, 126, 189]"
T32,4,Kapur,Variable Neighborhood Search,[ 81 207 236],-13.080793857574463,0.2974002824517877,9.94181288627537,"[0, 64, 127, 191, 255]"
T32,5,Otsu,Simulated Annealing,[ 19  92  56 130],5313931.290623888,0.4968708220152439,10.275009038333964,"[0, 51, 102, 153, 204]"
T32,5,Kapur,Simulated Annealing,[ 22 103  62 135],-16.029491901397705,0.3580539602178418,12.541021190612833,"[0, 51, 102, 153, 204, 255]"
T32,5,Otsu,Variable Neighborhood Search,[103 171 213 218],62756442.33584518,0.4968708220152439,10.275009038333964,"[0, 51, 102, 153, 204]"
T32,5,Kapur,Variable Neighborhood Search,[189 214 248 251],-12.141485810279846,0.3580539602178418,12.541021190612833,"[0, 51, 102, 153, 204, 255]"
T42,2,Otsu,Simulated Annealing,[62],43503828.099830896,0.641247285879317,19.133748078729088,"[0, 127]"
T42,2,Kapur,Simulated Annealing,[72],-7.214141368865967,0.11894701246922089,4.640118552606908,"[0, 128, 255]"
T42,2,Otsu,Variable Neighborhood Search,[252],208069657.89950243,0.641247285879317,19.133748078729088,"[0, 127]"
T42,2,Kapur,Variable Neighborhood Search,[14],-6.168088912963867,0.11894701246922089,4.640118552606908,"[0, 128, 255]"
T42,3,Otsu,Simulated Annealing,[ 46 120],18044511.917935777,0.6511076168467614,15.016637445182223,"[0, 85, 170]"
T42,3,Kapur,Simulated Annealing,[ 4 54],-9.25513669848442,0.2522321015818849,7.612371388491134,"[0, 85, 170, 255]"
T42,3,Otsu,Variable Neighborhood Search,[ 49 103],20459237.420064464,0.6511076168467614,15.016637445182223,"[0, 85, 170]"
T42,3,Kapur,Variable Neighborhood Search,[161 201],-10.908002376556396,0.2522321015818849,7.612371388491134,"[0, 85, 170, 255]"
T42,4,Otsu,Simulated Annealing,[ 29  77 131],10906967.64280429,0.5717521826349643,12.269480307971328,"[0, 63, 126, 189]"
T42,4,Kapur,Simulated Annealing,[ 7 67 27],-12.167243957519531,0.3350021895172027,10.49105920742468,"[0, 64, 127, 191, 255]"
T42,4,Otsu,Variable Neighborhood Search,[14 47 94],18480804.123729177,0.5717521826349643,12.269480307971328,"[0, 63, 126, 189]"
T42,4,Kapur,Variable Neighborhood Search,[100 192 226],-14.047832727432251,0.3350021895172027,10.49105920742468,"[0, 64, 127, 191, 255]"
T42,5,Otsu,Simulated Annealing,[ 23 110  66 156],7104698.849747544,0.4782463249444626,10.376443379160513,"[0, 51, 102, 153, 204]"
T42,5,Kapur,Simulated Annealing,[ 72  15  28 172],-15.998564958572388,0.39986422203403643,13.275156823454566,"[0, 51, 102, 153, 204, 255]"
T42,5,Otsu,Variable Neighborhood Search,[103 171 213 218],66956777.17840074,0.4782463249444626,10.376443379160513,"[0, 51, 102, 153, 204]"
T42,5,Kapur,Variable Neighborhood Search,[189 214 248 251],-12.402326345443726,0.39986422203403643,13.275156823454566,"[0, 51, 102, 153, 204, 255]"
T52,2,Otsu,Simulated Annealing,[57],36070444.14698815,0.6254933978105393,19.119145240116538,"[0, 127]"
T52,2,Kapur,Simulated Annealing,[73],-6.8935627937316895,0.1596738349707836,5.012542791068321,"[0, 128, 255]"
T52,2,Otsu,Variable Neighborhood Search,[134],125617565.1910092,0.6254933978105393,19.119145240116538,"[0, 127]"
T52,2,Kapur,Variable Neighborhood Search,[189],-7.7408483028411865,0.1596738349707836,5.012542791068321,"[0, 128, 255]"
T52,3,Otsu,Simulated Annealing,[ 45 112],15534032.697723359,0.6055590248124427,13.950123452388876,"[0, 85, 170]"
T52,3,Kapur,Simulated Annealing,[ 3 52],-8.916209816932678,0.2967324174109672,8.006445677739064,"[0, 85, 170, 255]"
T52,3,Otsu,Variable Neighborhood Search,[145 190],140102219.54448727,0.6055590248124427,13.950123452388876,"[0, 85, 170]"
T52,3,Kapur,Variable Neighborhood Search,[ 34 205],-10.024593353271484,0.2967324174109672,8.006445677739064,"[0, 85, 170, 255]"
T52,4,Otsu,Simulated Annealing,[ 36  87 130],9654839.509410651,0.5393467477024719,11.509577148836376,"[0, 63, 126, 189]"
T52,4,Kapur,Simulated Annealing,[75 41 14],-12.16651451587677,0.37873366844825773,10.869696996447049,"[0, 64, 127, 191, 255]"
T52,4,Otsu,Variable Neighborhood Search,[150 228 230],148427807.24936122,0.5393467477024719,11.509577148836376,"[0, 63, 126, 189]"
