Image,Level,Method,Optimization,Thresholds,Objective Value,SSIM,PSNR,Unique Values
T22,2,Otsu,Simulated Annealing,[60],32499566.319223642,0.6065682468036183,19.61970935519303,"[0, 127]"
T22,2,Kapur,Simulated Annealing,[31],-6.633826494216919,0.422428832040836,5.810659073078471,"[0, 255]"
T22,2,Otsu,Variable Neighborhood Search,[58],32566403.656919442,0.6065682468036183,19.61970935519303,"[0, 127]"
T22,2,Kapur,Variable Neighborhood Search,[105],-7.43969988822937,0.422428832040836,5.810659073078471,"[0, 255]"
T22,3,Otsu,Simulated Annealing,[33 94],14171215.68231995,0.6417188763030888,15.256309989342181,"[0, 85, 170]"
T22,3,Kapur,Simulated Annealing,[190  77],-10.99470591545105,0.5433825606459819,9.416721407463736,"[0, 128, 255]"
T22,3,Otsu,Variable Neighborhood Search,[37 95],14303053.409297604,0.6417188763030888,15.256309989342181,"[0, 85, 170]"
T22,3,Kapur,Variable Neighborhood Search,[ 94 176],-11.153184175491333,0.5433825606459819,9.416721407463736,"[0, 128, 255]"
T22,4,Otsu,Simulated Annealing,[ 22  65 115],7322200.294501291,0.5773858720713074,12.083677935468067,"[0, 63, 126, 189]"
T22,4,Kapur,Simulated Annealing,[ 31 125  57],-13.131543397903442,0.6634185470714293,12.90846851265908,"[0, 85, 170, 255]"
T22,4,Otsu,Variable Neighborhood Search,[ 18  57 111],7599670.194419334,0.5773858720713074,12.083677935468067,"[0, 63, 126, 189]"
T22,4,Kapur,Variable Neighborhood Search,[ 62 115 183],-14.300364255905151,0.6634185470714293,12.90846851265908,"[0, 85, 170, 255]"
T22,5,Otsu,Simulated Annealing,[ 18  51  87 126],4758254.207213032,0.5019070442708095,10.067847872523924,"[0, 51, 102, 153, 204]"
T22,5,Kapur,Simulated Annealing,[ 69  32 196 101],-16.624770998954773,0.7535030045444645,16.356128336519284,"[0, 64, 128, 191, 255]"
T22,5,Otsu,Variable Neighborhood Search,[ 24  61  94 131],5103446.065743168,0.5019070442708095,10.067847872523924,"[0, 51, 102, 153, 204]"
T22,5,Kapur,Variable Neighborhood Search,[ 51  93 133 179],-17.144275665283203,0.7535030045444645,16.356128336519284,"[0, 64, 128, 191, 255]"
T32,2,Otsu,Simulated Annealing,[60],33726753.38911648,0.6403085900792006,19.786610931588363,"[0, 127]"
T32,2,Kapur,Simulated Annealing,[22],-6.304599285125732,0.09293136747365292,4.342287296253036,"[0, 128, 255]"
T32,2,Otsu,Variable Neighborhood Search,[65],33991209.264678024,0.6403085900792006,19.786610931588363,"[0, 127]"
T32,2,Kapur,Variable Neighborhood Search,[116],-7.465577125549316,0.09293136747365292,4.342287296253036,"[0, 128, 255]"
T32,3,Otsu,Simulated Annealing,[ 42 109],15600053.226690387,0.6551309694819788,15.215117594577377,"[0, 85, 170]"
T32,3,Kapur,Simulated Annealing,[23 36],-8.819355607032776,0.2220796060749098,7.209123280144414,"[0, 85, 170, 255]"
T32,3,Otsu,Variable Neighborhood Search,[ 41 112],15686161.844230857,0.6551309694819788,15.215117594577377,"[0, 85, 170]"
T32,3,Kapur,Variable Neighborhood Search,[110 186],-11.337877035140991,0.2220796060749098,7.209123280144414,"[0, 85, 170, 255]"
T32,4,Otsu,Simulated Annealing,[ 23  68 120],7815028.771459142,0.5767829743862601,12.22953944947215,"[0, 63, 126, 189]"
T32,4,Kapur,Simulated Annealing,[23 40 21],-9.676208972930908,0.2974002824517877,9.94181288627537,"[0, 64, 127, 191, 255]"
T32,4,Otsu,Variable Neighborhood Search,[ 25  66 122],7915738.095669101,0.5767829743862601,12.22953944947215,"[0, 63, 126, 189]"
T32,4,Kapur,Variable Neighborhood Search,[ 59 112 180],-14.341384649276733,0.2974002824517877,9.94181288627537,"[0, 64, 127, 191, 255]"
T32,5,Otsu,Simulated Annealing,[ 20  57  93 131],5315941.736485512,0.4968708220152439,10.275009038333964,"[0, 51, 102, 153, 204]"
T32,5,Kapur,Simulated Annealing,[44 24  8 60],-13.982279598712921,0.3580539602178418,12.541021190612833,"[0, 51, 102, 153, 204, 255]"
T32,5,Otsu,Variable Neighborhood Search,[ 20  66 104 139],5580797.98876174,0.4968708220152439,10.275009038333964,"[0, 51, 102, 153, 204]"
T32,5,Kapur,Variable Neighborhood Search,[ 61 112 170 203],-17.21673846244812,0.3580539602178418,12.541021190612833,"[0, 51, 102, 153, 204, 255]"
T42,2,Otsu,Simulated Annealing,[62],43503828.099830896,0.641247285879317,19.133748078729088,"[0, 127]"
T42,2,Kapur,Simulated Annealing,[13],-6.133922874927521,0.11894701246922089,4.640118552606908,"[0, 128, 255]"
T42,2,Otsu,Variable Neighborhood Search,[64],43582606.590380155,0.641247285879317,19.133748078729088,"[0, 127]"
T42,2,Kapur,Variable Neighborhood Search,[124],-7.800716400146484,0.11894701246922089,4.640118552606908,"[0, 128, 255]"
T42,3,Otsu,Simulated Annealing,[ 46 120],18044511.917935777,0.6511076168467614,15.016637445182223,"[0, 85, 170]"
T42,3,Kapur,Simulated Annealing,[46 43],-7.954345941543579,0.2522321015818849,7.612371388491134,"[0, 85, 170, 255]"
